complaints,category
"Please fix the power cut this is a major safety risk. Specifically, the power cut near the main square is getting worse. Danger attention is needed.",Electricity
Please fix the dim lights,Electricity
"I want to report sparking wire and it has been like this for days. Specifically, the sparking wire near the main square is getting worse. Urgent attention is needed.",Electricity
I want to report cracked pavement,Roads
"Please fix the stray dog menace the whole neighborhood is complaining. Specifically, the stray dog menace near the main square is getting worse. Emergency attention is needed.",Health
There is a sparking wire,Electricity
"Continuous issue with outbreak risk the whole neighborhood is complaining. Specifically, the outbreak risk near the main square is getting worse. Danger attention is needed.",Health
"Continuous issue with transformer failure which is causing a lot of trouble. Specifically, the transformer failure near the main square is getting worse. Fire attention is needed.",Electricity
There is a transformer failure,Electricity
Please fix the pothole,Roads
I want to report dim lights,Electricity
Urgent notice regarding sparking wire,Electricity
"I want to report pothole and it has been like this for days. Specifically, the pothole near the main square is getting worse. Immediate attention is needed.",Roads
"There is a contaminated the whole neighborhood is complaining. Specifically, the contaminated near the main square is getting worse. Fire attention is needed.",Water
"Please fix the stagnant water and it has been like this for days. Specifically, the stagnant water near the main square is getting worse. Emergency attention is needed.",Health
Please fix the clinic closed,Health
"There is a transformer failure this is a major safety risk. Specifically, the transformer failure near the main square is getting worse. Leak attention is needed.",Electricity
"Urgent notice regarding dirty water and it has been like this for days. Specifically, the dirty water near the main square is getting worse. Life-threatening attention is needed.",Water
"Please fix the downed line which is causing a lot of trouble. Specifically, the downed line near the main square is getting worse. Leak attention is needed.",Electricity
Please fix the no supply,Water
"Continuous issue with stagnant water and it has been like this for days. Specifically, the stagnant water near the main square is getting worse. Danger attention is needed.",Health
There is a power cut,Electricity
"I want to report stray dog menace which is causing a lot of trouble. Specifically, the stray dog menace near the main square is getting worse. Fire attention is needed.",Health
"I want to report bad smell which is causing a lot of trouble. Specifically, the bad smell near the main square is getting worse. Hazard attention is needed.",Sanitation
Urgent notice regarding downed line,Electricity
"I want to report garbage pile and it has been like this for days. Specifically, the garbage pile near the main square is getting worse. Emergency attention is needed.",Sanitation
Please fix the transformer failure,Electricity
"Urgent notice regarding uncollected waste the whole neighborhood is complaining. Specifically, the uncollected waste near the main square is getting worse. Immediate attention is needed.",Sanitation
Continuous issue with pipe burst,Water
Please fix the dirty water,Water
"Continuous issue with outbreak risk which is causing a lot of trouble. Specifically, the outbreak risk near the main square is getting worse. Leak attention is needed.",Health
"I want to report stray dog menace and it has been like this for days. Specifically, the stray dog menace near the main square is getting worse. Leak attention is needed.",Health
"Please fix the contaminated which is causing a lot of trouble. Specifically, the contaminated near the main square is getting worse. Leak attention is needed.",Water
"Urgent notice regarding traffic signal broken which is causing a lot of trouble. Specifically, the traffic signal broken near the main square is getting worse. Emergency attention is needed.",Roads
Please fix the power cut,Electricity
"I want to report cracked pavement and it has been like this for days. Specifically, the cracked pavement near the main square is getting worse. Danger attention is needed.",Roads
There is a outbreak risk,Health
There is a contaminated,Water
"Please fix the pipe burst and it has been like this for days. Specifically, the pipe burst near the main square is getting worse. Emergency attention is needed.",Water
"Urgent notice regarding transformer failure this is a major safety risk. Specifically, the transformer failure near the main square is getting worse. Immediate attention is needed.",Electricity
"Urgent notice regarding stray dog menace the whole neighborhood is complaining. Specifically, the stray dog menace near the main square is getting worse. Immediate attention is needed.",Health
"There is a stray dog menace which is causing a lot of trouble. Specifically, the stray dog menace near the main square is getting worse. Urgent attention is needed.",Health
Continuous issue with dirty water,Water
"I want to report stagnant water the whole neighborhood is complaining. Specifically, the stagnant water near the main square is getting worse. Danger attention is needed.",Health
"Continuous issue with contaminated and it has been like this for days. Specifically, the contaminated near the main square is getting worse. Leak attention is needed.",Water
"Urgent notice regarding clinic closed the whole neighborhood is complaining. Specifically, the clinic closed near the main square is getting worse. Emergency attention is needed.",Health
"Continuous issue with uncollected waste and it has been like this for days. Specifically, the uncollected waste near the main square is getting worse. Urgent attention is needed.",Sanitation
Urgent notice regarding pothole,Roads
"There is a pothole the whole neighborhood is complaining. Specifically, the pothole near the main square is getting worse. Danger attention is needed.",Roads
"There is a stagnant water and it has been like this for days. Specifically, the stagnant water near the main square is getting worse. Immediate attention is needed.",Health
I want to report pipe burst,Water
"Continuous issue with stagnant water which is causing a lot of trouble. Specifically, the stagnant water near the main square is getting worse. Danger attention is needed.",Health
There is a cracked pavement,Roads
"I want to report sparking wire this is a major safety risk. Specifically, the sparking wire near the main square is getting worse. Fire attention is needed.",Electricity
"Please fix the pothole which is causing a lot of trouble. Specifically, the pothole near the main square is getting worse. Danger attention is needed.",Roads
"There is a cracked pavement the whole neighborhood is complaining. Specifically, the cracked pavement near the main square is getting worse. Urgent attention is needed.",Roads
"There is a pipe burst this is a major safety risk. Specifically, the pipe burst near the main square is getting worse. Emergency attention is needed.",Water
"There is a mosquito breeding which is causing a lot of trouble. Specifically, the mosquito breeding near the main square is getting worse. Danger attention is needed.",Health
"Continuous issue with outbreak risk and it has been like this for days. Specifically, the outbreak risk near the main square is getting worse. Life-threatening attention is needed.",Health
"Please fix the traffic signal broken the whole neighborhood is complaining. Specifically, the traffic signal broken near the main square is getting worse. Urgent attention is needed.",Roads
There is a no supply,Water
"I want to report garbage pile which is causing a lot of trouble. Specifically, the garbage pile near the main square is getting worse. Hazard attention is needed.",Sanitation
"Continuous issue with contaminated this is a major safety risk. Specifically, the contaminated near the main square is getting worse. Fire attention is needed.",Water
"There is a contaminated the whole neighborhood is complaining. Specifically, the contaminated near the main square is getting worse. Danger attention is needed.",Water
"I want to report contaminated which is causing a lot of trouble. Specifically, the contaminated near the main square is getting worse. Immediate attention is needed.",Water
"I want to report traffic signal broken and it has been like this for days. Specifically, the traffic signal broken near the main square is getting worse. Hazard attention is needed.",Roads
"I want to report sparking wire and it has been like this for days. Specifically, the sparking wire near the main square is getting worse. Life-threatening attention is needed.",Electricity
"I want to report power cut the whole neighborhood is complaining. Specifically, the power cut near the main square is getting worse. Hazard attention is needed.",Electricity
"Continuous issue with street light out and it has been like this for days. Specifically, the street light out near the main square is getting worse. Leak attention is needed.",Roads
"I want to report street light out which is causing a lot of trouble. Specifically, the street light out near the main square is getting worse. Emergency attention is needed.",Roads
"Please fix the stagnant water the whole neighborhood is complaining. Specifically, the stagnant water near the main square is getting worse. Urgent attention is needed.",Health
"Continuous issue with pipe burst this is a major safety risk. Specifically, the pipe burst near the main square is getting worse. Life-threatening attention is needed.",Water
"Continuous issue with sewage leak the whole neighborhood is complaining. Specifically, the sewage leak near the main square is getting worse. Fire attention is needed.",Sanitation
I want to report downed line,Electricity
"Urgent notice regarding garbage pile the whole neighborhood is complaining. Specifically, the garbage pile near the main square is getting worse. Immediate attention is needed.",Sanitation
There is a pothole,Roads
I want to report clinic closed,Health
"Continuous issue with street light out this is a major safety risk. Specifically, the street light out near the main square is getting worse. Life-threatening attention is needed.",Roads
"Urgent notice regarding street light out the whole neighborhood is complaining. Specifically, the street light out near the main square is getting worse. Urgent attention is needed.",Roads
"Urgent notice regarding leak the whole neighborhood is complaining. Specifically, the leak near the main square is getting worse. Emergency attention is needed.",Water
"Urgent notice regarding no supply this is a major safety risk. Specifically, the no supply near the main square is getting worse. Urgent attention is needed.",Water
Continuous issue with contaminated,Water
Please fix the leak,Water
"Please fix the clinic closed which is causing a lot of trouble. Specifically, the clinic closed near the main square is getting worse. Immediate attention is needed.",Health
"There is a street light out the whole neighborhood is complaining. Specifically, the street light out near the main square is getting worse. Leak attention is needed.",Roads
"Please fix the leak which is causing a lot of trouble. Specifically, the leak near the main square is getting worse. Urgent attention is needed.",Water
"Please fix the stray dog menace this is a major safety risk. Specifically, the stray dog menace near the main square is getting worse. Leak attention is needed.",Health
"Urgent notice regarding overflowing bin the whole neighborhood is complaining. Specifically, the overflowing bin near the main square is getting worse. Immediate attention is needed.",Sanitation
"I want to report traffic signal broken the whole neighborhood is complaining. Specifically, the traffic signal broken near the main square is getting worse. Urgent attention is needed.",Roads
Urgent notice regarding traffic signal broken,Roads
"Urgent notice regarding street light out and it has been like this for days. Specifically, the street light out near the main square is getting worse. Fire attention is needed.",Roads
There is a low pressure,Water
"I want to report dirty water this is a major safety risk. Specifically, the dirty water near the main square is getting worse. Emergency attention is needed.",Water
"There is a bad smell and it has been like this for days. Specifically, the bad smell near the main square is getting worse. Danger attention is needed.",Sanitation
"Continuous issue with pothole this is a major safety risk. Specifically, the pothole near the main square is getting worse. Emergency attention is needed.",Roads
Continuous issue with uncollected waste,Sanitation
"Urgent notice regarding stagnant water which is causing a lot of trouble. Specifically, the stagnant water near the main square is getting worse. Emergency attention is needed.",Health
"Continuous issue with power cut and it has been like this for days. Specifically, the power cut near the main square is getting worse. Hazard attention is needed.",Electricity
Please fix the pipe burst,Water
"Please fix the stray dog menace the whole neighborhood is complaining. Specifically, the stray dog menace near the main square is getting worse. Immediate attention is needed.",Health
"Please fix the bad smell which is causing a lot of trouble. Specifically, the bad smell near the main square is getting worse. Urgent attention is needed.",Sanitation
There is a uncollected waste,Sanitation
"There is a outbreak risk this is a major safety risk. Specifically, the outbreak risk near the main square is getting worse. Urgent attention is needed.",Health
"Please fix the cracked pavement this is a major safety risk. Specifically, the cracked pavement near the main square is getting worse. Urgent attention is needed.",Roads
Urgent notice regarding transformer failure,Electricity
"Urgent notice regarding bad smell the whole neighborhood is complaining. Specifically, the bad smell near the main square is getting worse. Urgent attention is needed.",Sanitation
"Urgent notice regarding sewage leak which is causing a lot of trouble. Specifically, the sewage leak near the main square is getting worse. Hazard attention is needed.",Sanitation
Urgent notice regarding dirty water,Water
"I want to report flooded road and it has been like this for days. Specifically, the flooded road near the main square is getting worse. Life-threatening attention is needed.",Roads
"Continuous issue with power cut the whole neighborhood is complaining. Specifically, the power cut near the main square is getting worse. Hazard attention is needed.",Electricity
There is a flooded road,Roads
"Continuous issue with downed line which is causing a lot of trouble. Specifically, the downed line near the main square is getting worse. Leak attention is needed.",Electricity
"I want to report dirty water and it has been like this for days. Specifically, the dirty water near the main square is getting worse. Danger attention is needed.",Water
Continuous issue with mosquito breeding,Health
"I want to report bad smell the whole neighborhood is complaining. Specifically, the bad smell near the main square is getting worse. Immediate attention is needed.",Sanitation
"Continuous issue with overflowing bin and it has been like this for days. Specifically, the overflowing bin near the main square is getting worse. Emergency attention is needed.",Sanitation
"There is a transformer failure which is causing a lot of trouble. Specifically, the transformer failure near the main square is getting worse. Fire attention is needed.",Electricity
"Please fix the sewage leak this is a major safety risk. Specifically, the sewage leak near the main square is getting worse. Hazard attention is needed.",Sanitation
Please fix the contaminated,Water
"Urgent notice regarding stagnant water which is causing a lot of trouble. Specifically, the stagnant water near the main square is getting worse. Danger attention is needed.",Health
"Urgent notice regarding traffic signal broken the whole neighborhood is complaining. Specifically, the traffic signal broken near the main square is getting worse. Emergency attention is needed.",Roads
"Urgent notice regarding mosquito breeding and it has been like this for days. Specifically, the mosquito breeding near the main square is getting worse. Hazard attention is needed.",Health
Urgent notice regarding contaminated,Water
I want to report stray dog menace,Health
"Please fix the street light out which is causing a lot of trouble. Specifically, the street light out near the main square is getting worse. Immediate attention is needed.",Roads
"I want to report downed line which is causing a lot of trouble. Specifically, the downed line near the main square is getting worse. Danger attention is needed.",Electricity
"I want to report stagnant water which is causing a lot of trouble. Specifically, the stagnant water near the main square is getting worse. Emergency attention is needed.",Health
"Please fix the dirty water and it has been like this for days. Specifically, the dirty water near the main square is getting worse. Danger attention is needed.",Water
"Please fix the cracked pavement this is a major safety risk. Specifically, the cracked pavement near the main square is getting worse. Immediate attention is needed.",Roads
"Continuous issue with stray dog menace the whole neighborhood is complaining. Specifically, the stray dog menace near the main square is getting worse. Hazard attention is needed.",Health
"Urgent notice regarding sparking wire this is a major safety risk. Specifically, the sparking wire near the main square is getting worse. Fire attention is needed.",Electricity
"I want to report stray dog menace the whole neighborhood is complaining. Specifically, the stray dog menace near the main square is getting worse. Hazard attention is needed.",Health
"There is a outbreak risk the whole neighborhood is complaining. Specifically, the outbreak risk near the main square is getting worse. Fire attention is needed.",Health
"Urgent notice regarding clinic closed the whole neighborhood is complaining. Specifically, the clinic closed near the main square is getting worse. Life-threatening attention is needed.",Health
"Continuous issue with downed line this is a major safety risk. Specifically, the downed line near the main square is getting worse. Life-threatening attention is needed.",Electricity
"Continuous issue with low pressure the whole neighborhood is complaining. Specifically, the low pressure near the main square is getting worse. Leak attention is needed.",Water
"Continuous issue with sparking wire and it has been like this for days. Specifically, the sparking wire near the main square is getting worse. Life-threatening attention is needed.",Electricity
"Continuous issue with cracked pavement the whole neighborhood is complaining. Specifically, the cracked pavement near the main square is getting worse. Leak attention is needed.",Roads
"Urgent notice regarding bad smell this is a major safety risk. Specifically, the bad smell near the main square is getting worse. Emergency attention is needed.",Sanitation
Urgent notice regarding flooded road,Roads
"I want to report mosquito breeding and it has been like this for days. Specifically, the mosquito breeding near the main square is getting worse. Life-threatening attention is needed.",Health
"Continuous issue with traffic signal broken and it has been like this for days. Specifically, the traffic signal broken near the main square is getting worse. Emergency attention is needed.",Roads
"Please fix the cracked pavement the whole neighborhood is complaining. Specifically, the cracked pavement near the main square is getting worse. Urgent attention is needed.",Roads
"Urgent notice regarding flooded road this is a major safety risk. Specifically, the flooded road near the main square is getting worse. Urgent attention is needed.",Roads
"Please fix the sewage leak which is causing a lot of trouble. Specifically, the sewage leak near the main square is getting worse. Life-threatening attention is needed.",Sanitation
"Urgent notice regarding garbage pile and it has been like this for days. Specifically, the garbage pile near the main square is getting worse. Life-threatening attention is needed.",Sanitation
"Please fix the stagnant water and it has been like this for days. Specifically, the stagnant water near the main square is getting worse. Danger attention is needed.",Health
"Continuous issue with sewage leak which is causing a lot of trouble. Specifically, the sewage leak near the main square is getting worse. Fire attention is needed.",Sanitation
I want to report flooded road,Roads
"Please fix the pothole the whole neighborhood is complaining. Specifically, the pothole near the main square is getting worse. Hazard attention is needed.",Roads
There is a clinic closed,Health
"Please fix the garbage pile and it has been like this for days. Specifically, the garbage pile near the main square is getting worse. Danger attention is needed.",Sanitation
"Urgent notice regarding sparking wire this is a major safety risk. Specifically, the sparking wire near the main square is getting worse. Danger attention is needed.",Electricity
"Please fix the flooded road which is causing a lot of trouble. Specifically, the flooded road near the main square is getting worse. Hazard attention is needed.",Roads
"Urgent notice regarding leak and it has been like this for days. Specifically, the leak near the main square is getting worse. Danger attention is needed.",Water
"There is a contaminated and it has been like this for days. Specifically, the contaminated near the main square is getting worse. Hazard attention is needed.",Water
"Please fix the power cut which is causing a lot of trouble. Specifically, the power cut near the main square is getting worse. Fire attention is needed.",Electricity
"There is a street light out the whole neighborhood is complaining. Specifically, the street light out near the main square is getting worse. Emergency attention is needed.",Roads
"Please fix the stagnant water which is causing a lot of trouble. Specifically, the stagnant water near the main square is getting worse. Urgent attention is needed.",Health
Continuous issue with no supply,Water
"Urgent notice regarding street light out this is a major safety risk. Specifically, the street light out near the main square is getting worse. Hazard attention is needed.",Roads
I want to report outbreak risk,Health
"Urgent notice regarding traffic signal broken this is a major safety risk. Specifically, the traffic signal broken near the main square is getting worse. Life-threatening attention is needed.",Roads
"I want to report power cut the whole neighborhood is complaining. Specifically, the power cut near the main square is getting worse. Leak attention is needed.",Electricity
"Please fix the dirty water and it has been like this for days. Specifically, the dirty water near the main square is getting worse. Hazard attention is needed.",Water
"I want to report mosquito breeding the whole neighborhood is complaining. Specifically, the mosquito breeding near the main square is getting worse. Hazard attention is needed.",Health
"I want to report mosquito breeding the whole neighborhood is complaining. Specifically, the mosquito breeding near the main square is getting worse. Emergency attention is needed.",Health
"Urgent notice regarding bad smell this is a major safety risk. Specifically, the bad smell near the main square is getting worse. Immediate attention is needed.",Sanitation
"I want to report dim lights the whole neighborhood is complaining. Specifically, the dim lights near the main square is getting worse. Leak attention is needed.",Electricity
"There is a mosquito breeding which is causing a lot of trouble. Specifically, the mosquito breeding near the main square is getting worse. Leak attention is needed.",Health
"Please fix the pothole this is a major safety risk. Specifically, the pothole near the main square is getting worse. Fire attention is needed.",Roads
"There is a power cut and it has been like this for days. Specifically, the power cut near the main square is getting worse. Life-threatening attention is needed.",Electricity
"There is a pipe burst which is causing a lot of trouble. Specifically, the pipe burst near the main square is getting worse. Leak attention is needed.",Water
"Urgent notice regarding transformer failure and it has been like this for days. Specifically, the transformer failure near the main square is getting worse. Danger attention is needed.",Electricity
"Please fix the sparking wire and it has been like this for days. Specifically, the sparking wire near the main square is getting worse. Hazard attention is needed.",Electricity
"There is a street light out which is causing a lot of trouble. Specifically, the street light out near the main square is getting worse. Danger attention is needed.",Roads
"I want to report dim lights and it has been like this for days. Specifically, the dim lights near the main square is getting worse. Emergency attention is needed.",Electricity
"Continuous issue with downed line the whole neighborhood is complaining. Specifically, the downed line near the main square is getting worse. Immediate attention is needed.",Electricity
"Continuous issue with stagnant water and it has been like this for days. Specifically, the stagnant water near the main square is getting worse. Fire attention is needed.",Health
"There is a pothole which is causing a lot of trouble. Specifically, the pothole near the main square is getting worse. Emergency attention is needed.",Roads
There is a leak,Water
"There is a contaminated this is a major safety risk. Specifically, the contaminated near the main square is getting worse. Life-threatening attention is needed.",Water
"There is a no supply the whole neighborhood is complaining. Specifically, the no supply near the main square is getting worse. Fire attention is needed.",Water
Urgent notice regarding uncollected waste,Sanitation
"Continuous issue with cracked pavement this is a major safety risk. Specifically, the cracked pavement near the main square is getting worse. Leak attention is needed.",Roads
"Urgent notice regarding overflowing bin the whole neighborhood is complaining. Specifically, the overflowing bin near the main square is getting worse. Hazard attention is needed.",Sanitation
"There is a flooded road this is a major safety risk. Specifically, the flooded road near the main square is getting worse. Life-threatening attention is needed.",Roads
